127.0.0.1|127.0.0.1|46236|80|6|106|20682|FSPA|1494347879.683|0.351|1494347880.034|S0|0|0|0.0.0.0|S|FPA||80|all|in|1494347879.683|1494347880.034|0.351||
127.0.0.1|127.0.0.1|80|46236|6|105|60206|FSPA|1494347879.683|0.351|1494347880.034|S0|0|0|0.0.0.0|SA|FPA||80|all|in|1494347879.683|1494347880.034|0.351||
127.0.0.1|127.0.0.1|46237|80|6|105|20662|FSPA|1494347880.034|0.095|1494347880.129|S0|0|0|0.0.0.0|S|FPA||80|all|in|1494347880.034|1494347880.129|0.095||
127.0.0.1|127.0.0.1|80|46237|6|105|56472|FSPA|1494347880.034|0.095|1494347880.129|S0|0|0|0.0.0.0|SA|FPA||80|all|in|1494347880.034|1494347880.129|0.095||
127.0.0.1|127.0.0.1|46238|80|6|28|8031|FSPA|1494347880.130|0.028|1494347880.158|S0|0|0|0.0.0.0|S|FPA||80|all|in|1494347880.130|1494347880.158|0.028||
127.0.0.1|127.0.0.1|80|46238|6|27|12977|FSPA|1494347880.130|0.028|1494347880.158|S0|0|0|0.0.0.0|SA|FPA||80|all|in|1494347880.130|1494347880.158|0.028||
127.0.0.1|127.0.0.1|46239|80|6|30|8766|FSPA|1494347880.159|0.026|1494347880.185|S0|0|0|0.0.0.0|S|FPA||80|all|in|1494347880.159|1494347880.185|0.026||
127.0.0.1|127.0.0.1|80|46239|6|27|15609|FSPA|1494347880.159|0.026|1494347880.185|S0|0|0|0.0.0.0|SA|FPA||80|all|in|1494347880.159|1494347880.185|0.026||
127.0.0.1|127.0.0.1|46240|80|6|6|433|FSPA|1494347880.185|0.001|1494347880.186|S0|0|0|0.0.0.0|S|FPA||80|all|in|1494347880.185|1494347880.186|0.001||
127.0.0.1|127.0.0.1|80|46240|6|4|2684|FSPA|1494347880.185|0.001|1494347880.186|S0|0|0|0.0.0.0|SA|FPA||80|all|in|1494347880.185|1494347880.186|0.001||
127.0.0.1|127.0.0.1|46241|80|6|6|439|FSPA|1494347880.187|0.003|1494347880.190|S0|0|0|0.0.0.0|S|FPA||80|all|in|1494347880.187|1494347880.190|0.003||
127.0.0.1|127.0.0.1|80|46241|6|4|797|FSPA|1494347880.187|0.003|1494347880.190|S0|0|0|0.0.0.0|SA|FPA||80|all|in|1494347880.187|1494347880.190|0.003||
127.0.0.1|127.0.0.1|46242|80|6|5|389|FSPA|1494347880.190|0.001|1494347880.191|S0|0|0|0.0.0.0|S|FPA||80|all|in|1494347880.190|1494347880.191|0.001||
127.0.0.1|127.0.0.1|80|46242|6|5|740|FSPA|1494347880.190|0.001|1494347880.191|S0|0|0|0.0.0.0|SA|FPA||80|all|in|1494347880.190|1494347880.191|0.001||
127.0.0.1|127.0.0.1|46243|80|6|23|7267|FSPA|1494347880.192|0.028|1494347880.220|S0|0|0|0.0.0.0|S|FPA||80|all|in|1494347880.192|1494347880.220|0.028||
127.0.0.1|127.0.0.1|80|46243|6|23|23961|FSPA|1494347880.192|0.028|1494347880.220|S0|0|0|0.0.0.0|SA|FPA||80|all|in|1494347880.192|1494347880.220|0.028||
127.0.0.1|127.0.0.1|46244|80|6|8|1324|FSPA|1494347880.221|0.004|1494347880.225|S0|0|0|0.0.0.0|S|FPA||80|all|in|1494347880.221|1494347880.225|0.004||
127.0.0.1|127.0.0.1|80|46244|6|8|2538|FSPA|1494347880.221|0.004|1494347880.225|S0|0|0|0.0.0.0|SA|FPA||80|all|in|1494347880.221|1494347880.225|0.004||
127.0.0.1|127.0.0.1|46245|80|6|5|559|FSPA|1494347880.226|0.000|1494347880.226|S0|0|0|0.0.0.0|S|FPA||80|all|in|1494347880.226|1494347880.226|0.000||
127.0.0.1|127.0.0.1|80|46245|6|5|765|FSPA|1494347880.226|0.000|1494347880.226|S0|0|0|0.0.0.0|SA|FPA||80|all|in|1494347880.226|1494347880.226|0.000||
127.0.0.1|127.0.0.1|46246|80|6|8|1076|FSPA|1494347880.231|0.003|1494347880.234|S0|0|0|0.0.0.0|S|FPA||80|all|in|1494347880.231|1494347880.234|0.003||
127.0.0.1|127.0.0.1|80|46246|6|8|2427|FSPA|1494347880.231|0.003|1494347880.234|S0|0|0|0.0.0.0|SA|FPA||80|all|in|1494347880.231|1494347880.234|0.003||
127.0.0.1|127.0.0.1|46247|80|6|7|827|FSPA|1494347880.235|0.002|1494347880.237|S0|0|0|0.0.0.0|S|FPA||80|all|in|1494347880.235|1494347880.237|0.002||
127.0.0.1|127.0.0.1|80|46247|6|7|1883|FSPA|1494347880.235|0.002|1494347880.237|S0|0|0|0.0.0.0|SA|FPA||80|all|in|1494347880.235|1494347880.237|0.002||
127.0.0.1|127.0.0.1|46248|80|6|7|827|FSPA|1494347880.238|0.009|1494347880.247|S0|0|0|0.0.0.0|S|FPA||80|all|in|1494347880.238|1494347880.247|0.009||
127.0.0.1|127.0.0.1|80|46248|6|7|1885|FSPA|1494347880.238|0.009|1494347880.247|S0|0|0|0.0.0.0|SA|FPA||80|all|in|1494347880.238|1494347880.247|0.009||
127.0.0.1|127.0.0.1|46249|80|6|7|825|FSPA|1494347880.247|0.002|1494347880.249|S0|0|0|0.0.0.0|S|FPA||80|all|in|1494347880.247|1494347880.249|0.002||
127.0.0.1|127.0.0.1|80|46249|6|7|1883|FSPA|1494347880.247|0.002|1494347880.249|S0|0|0|0.0.0.0|SA|FPA||80|all|in|1494347880.247|1494347880.249|0.002||
